numero_dpe;conso_5_usages_ep;conso_5_usages_par_m2_ep;conso_chauffage_ep;conso_ecs_ep;conso_refroidissement_ep;conso_eclairage_ep;conso_auxiliaires_ep;conso_5 usages_ef;conso_5 usages_par_m2_ef;conso_chauffage_ef;conso_ecs_ef;conso_refroidissement_ef;conso_eclairage_ef;conso_auxiliaires_ef;conso_5 usages_ef_energie_n1;conso_chauffage_ef_energie_n1;conso_ecs_ef_energie_n1;conso_5 usages_ef_energie_n2;conso_chauffage_ef_energie_n2;Conso_ecs_ef_energie_n2;conso_5_usages_ef_energie_n3;conso_chauffage_ef_energie_n3;conso_ecs_ef_energie_n3;conso_chauffage_installation_chauffage_n1;conso_chauffage_generateur_n1_installation_n1;conso_chauffage_generateur_n2_installation_n1;conso_chauffage_installation_chauffage_n2;conso_chauffage_generateur_n1_installation_n2;conso_chauffage_generateur_n2_installation_n2;conso_ef_installation_ecs_n1;conso_ef_generateur_n1_ecs_n1;conso_ef_generateur_n2_ecs_n1;conso_refroidissement_annuel
2438N3951358G;3706,50;82,90;1790,40;1616,70;0,00;223,70;75,70;3497,50;78,30;1768,50;1598,80;0,00;97,30;32,90;3336,70;1751,60;1585,10;160,80;16,90;13,80;;;;;;;;;;;;;
2338N3714849S;5574,50;69,20;3413,30;1639,60;0,00;105,90;7,60;5279,70;65,60;3413,30;1639,60;0,00;46,10;3,30;5052,90;3413,30;1639,60;49,30;0,00;0,00;;;;;;;;;;;;;
2438N0355117H;4532,70;70,80;1876,70;2071,60;0,00;84,80;35,20;4121,10;64,50;1795,40;2071,60;0,00;36,90;15,30;3804,50;1732,90;2071,60;114,70;62,50;0,00;;;;;;;;;;;;;
2138N0398375Y;7132,80;57,00;4632,20;2257,10;0,00;599,90;100,00;3101,20;24,80;2014,00;696,00;0,00;260,80;43,50;3101,20;2014,00;696,00;;;;;;;;;;;;;;;;
2338N3577756X;1946,00;82,40;774,60;987,00;0,00;36,40;8,60;1825,50;77,40;765,90;979,50;0,00;15,80;3,70;1732,80;759,20;973,60;32,10;6,70;5,80;;;;;;;;;;;;;
2338N3958810V;4569,10;66,30;2627,00;1115,80;0,00;94,60;6,30;4102,00;59,60;2627,00;1115,80;0,00;41,10;2,70;3742,80;2627,00;1115,80;43,90;0,00;0,00;;;;;;;;;;;;;
2238N0737977P;5078,10;71,50;2561,30;2664,70;0,00;109,10;42,40;4334,00;61,00;2171,50;1889,90;0,00;47,40;18,40;3761,50;1871,70;1889,90;365,70;299,80;0,00;;;;;;;;;;;;;
2238N1312849B;5459,50;53,60;2717,60;2853,30;0,00;154,00;0,00;4999,50;49,10;2690,80;1996,40;0,00;67,00;0,00;4645,60;2670,10;1975,50;108,50;20,60;20,90;;;;;;;;;;;;;
2338N4285554X;5415,60;61,10;3429,30;1419,10;0,00;412,50;0,00;2354,60;26,60;1491,00;617,00;0,00;179,40;0,00;2354,60;1491,00;617,00;;;;;;;;;;;;;;;;
2138N0109387A;9318,10;94,20;7373,40;1803,10;0,00;479,40;0,00;6427,50;65,00;5582,00;556,00;0,00;208,40;0,00;4204,00;4204,00;0,00;1934,00;1378,00;556,00;;;;;;;;;;;;;
