numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
2438N3951358G;485.9;255.1;230.8;55.8;5.9;4.8;;;;541.8;260.9;235.6;0;33.8;11.4
2338N3714849S;561.9;379.6;182.3;170.1;0;0;;;;627.7;379.6;182.3;0;158.8;11.3
2438N0355117H;299.4;136.4;163;230.5;10.3;0;;;;367.4;146.6;163;0;127;93.2
2138N0398375Y;798;519;179;;;;;;;798;519;179;0;67;11
2338N3577756X;192.7;84.4;108.3;71;1.9;1.7;;;;219.6;86.4;110;0;54.5;12.8
2338N3958810V;294.5;206.7;87.8;151.3;0;0;;;;374;206.7;87.8;0;141.8;9.5
2238N0737977P;296;147.3;148.7;314.1;87;0;;;;462.1;234.3;148.7;0;163.5;63.6
2238N1312849B;516.6;296.9;219.7;242.9;6;6.1;;;;619.3;302.9;225.8;0;230.8;0
2338N4285554X;481;304;126;;;;;;;481;304;126;0;37;0
2138N0109387A;252;252;0;628;389;157;;;;880;641;157;0;59;0
2238N1449231N;197;62.8;134.2;104.7;0;0;;;;301.5;62.8;134.2;0;98.8;5.8
2138N0346783Q;444.3;197.2;247.1;235.1;49.4;5.4;;;;578.5;246.6;252.6;0;135.2;45.1
2338N3397134X;604;417;109;;;;;;;604;417;109;0;54;0
2338N0267577I;516;349;90;;;;;;;516;349;90;0;44;8
2338N2559864F;527;299.2;227.8;218.5;0;0;;;;603.7;299.2;227.8;0;207;11.5
2338N2465552V;246.2;0;246.2;411.2;268.3;0.8;;;;625.2;268.3;247;0;132.6;9.5
2438N3297505B;523.2;283.9;102.4;;;;;;;523.2;283.9;102.4;0;39.2;97.6
2238N3118714K;144.2;143.5;0.6;202.5;9.1;193.4;83.9;2.8;0;385.3;155.4;194;0;70.6;10.6
2238N2642102E;488.6;301.4;187.2;169.5;0;0;;;;548.7;301.4;187.2;0;169.5;0
2438N0500591L;509;314;133;;;;;;;509;314;133;0;34;11
2338N2091801U;511.1;340.2;170.9;193.1;0;0;;;;584.8;340.2;170.9;0;162.6;30.5
2238N1426611N;426.8;259.4;167.4;138.3;0;0;;;;507;259.4;167.4;0;138.3;0
2438N0261053L;485.2;249.8;235.4;141.4;0;0;;;;538.3;249.8;235.4;0;141.4;0
2238N0900991J;143.2;70.9;72.3;59.3;0;0;;;;167.3;70.9;72.3;0;44.5;14.8
2338N0688350X;;;;;;;;;;;;;;;
"2 Rue du Muret""";;;;;;;;;;;;;;;
2238N0901049P;245;121.3;123.7;101.4;0;0;;;;286.2;121.3;123.7;0;76.1;25.4
2238N2744053J;;;;;;;;;;;;;;;
ZAC éco-quartier;;;;;;;;;;;;;;;
"166 allée du Parc""";;;;;;;;;;;;;;;
2138N0230853U;3741;1453;2288;868;0;0;;;;4609;1453;2288;0;578;145
2238N0580631V;381.7;213.4;168.3;152.2;0;0;;;;435.6;213.4;168.3;0;143.7;8.5
2138N0655501K;150;58.9;91.1;175.3;0;0;;;;199;58.9;91.1;0;113.1;62.2
2438N1446968O;532.7;396.2;136.5;246.1;39.9;0;;;;650;436.2;136.5;0;194;12.1
2438N3987154A;640.3;405.4;138.9;;;;;;;640.3;405.4;138.9;0;63;32.9
2438N2263007R;422.5;183.9;186.9;422.5;183.9;186.9;;;;422.5;183.9;186.9;0;41.9;9.9
2238N1463418E;439.1;196.9;242.2;346.7;0;0;;;;581.6;196.9;242.2;0;216.7;130
2438N1684393H;573.3;295;129.7;;;;;;;472.5;295;129.7;0;148.6;0
2438N2097173L;429;189.6;174.8;429;189.6;174.8;;;;429;189.6;174.8;0;36.9;27.7
2438N2065537R;709.1;447.8;181.9;709.1;447.8;181.9;;;;709.1;447.8;181.9;0;50;29.4
2438N1559313N;655.1;351.5;256.8;655.1;351.5;256.8;;;;655.1;351.5;256.8;0;37;9.7
2138N0944371U;2338.4;1433.4;788.1;;;;;;;2338.4;1433.4;788.1;0;91.4;25.5
2338N3546888R;252.4;97.7;154.7;119.9;0;0;;;;292.4;97.7;154.7;0;101.9;18
2138N1042978J;292.8;123;169.8;94.9;0;0;;;;326.4;123;169.8;0;84.3;10.5
2338N0992210V;542.7;324.3;218.4;80.9;30.2;3;;;;623.6;354.5;221.4;0;29.5;18.1
2138N0609203S;575.6;377;198.7;185.4;0;0;;;;642.1;377;198.7;0;174.5;10.9
2438N1966935H;253.8;108.2;125.8;253.8;108.2;125.8;;;;253.8;108.2;125.8;0;11.7;8.1
2438N0475968K;637.5;390.7;246.8;340.9;59.7;0;;;;796.5;450.4;246.8;0;195.7;85.6
