numero_dpe;date_derniere_modification_dpe;date_visite_diagnostiqueur;date_etablissement_dpe;date_reception_dpe;date_fin_validite_dpe;numero_dpe_remplace;numero_dpe_immeuble_associe;id_rnb;provenance_id_rnb;numero_rpls_logement;numero_immatriculation_copropriete;modele_dpe;version_dpe;methode_application_dpe;etiquette_dpe;etiquette_ges;classe_altitude;zone_climatique;type_batiment;type_installation_chauffage;type_installation_ecs;hauteur_sous_plafond;nombre_appartement;nombre_niveau_immeuble;nombre_niveau_logement;typologie_logement;appartement_non_visite;surface_habitable_immeuble;surface_habitable_logement;surface_tertiaire_immeuble;classe_inertie_batiment;score_ban;numero_etage_appartement;position_logement_dans_immeuble;nom_residence;complement_adresse_batiment;complement_adresse_logement;indicateur_confort_ete;protection_solaire_exterieure;logement_traversant;presence_brasseur_air;inertie_lourde;isolation_toiture;deperditions_totales_batiment;deperditions_totales_logement;deperditions_enveloppe;deperditions_ponts_thermiques;deperditions_murs;deperditions_planchers_hauts;deperditions_planchers_bas;deperditions_portes;deperditions_baies_vitrees;deperditions_renouvellement_air;qualite_isolation_enveloppe;qualite_isolation_murs;qualite_isolation_plancher_haut_comble_amenage;qualite_isolation_plancher bas;qualite_isolation_menuiseries;ubat_w_par_m2_k;emission_ges_5_usages;emission_ges_5_usages par_m2;emission_ges_chauffage;emission_ges_ecs;emission_ges_refroidissement;emission_ges_eclairage;emission_ges_auxiliaires;type_energie_n1;emission_ges_5_usages_energie_n1;emission_ges_chauffage_energie_n1;emission_ges_ecs_energie_n1;type_energie_n2;emission_ges_5_usages_energie_n2;emission_ges_chauffage_energie_n2;emission_ges_ecs_energie_n2;type_energie_n3;emission_ges_5_usages_energie_n3;emission_ges_chauffage_energie_n3;emission_ges_ecs_energie_n3;type_energie_principale_chauffage;type_generateur_chauffage_principal;type_installation_chauffage_n1;type_emetteur_installation_chauffage_n1;configuration_installation_chauffage_n1;description_installation_chauffage_n1;surface_chauffee_installation_chauffage_n1;type_generateur_n1_installation_n1;type_energie_generateur_n1_installation_n1;usage_generateur_n1_installation_n1;type_generateur_n2_installation_n1;type_energie_generateur_n2_installation_n1;usage_generateur_n2_installation_n1;type_installation_chauffage_n2;type_emetteur_installation_chauffage_n2;configuration_installation_chauffage_n2;description_installation_chauffage_n2;surface_chauffee_installation_chauffage_n2;type_generateur_n1_installation_n2;type_energie_generateur_n1_installation_n2;usage_generateur_n1_installation_n2;type_generateur_n2_installation_n2;type_energie_generateur_n2_installation_n2;usage_generateur_n2_installation_n2;type_energie_principale_ecs;type_generateur_chauffage_principal_ecs;type_installation_ecs_n1;configuration_installation_ecs_n1;description_installation_ecs_n1;nombre_logements_desservis_par_installation_ecs_n1;surface_habitable_desservie_par_installation_ecs_n1;type_installation_solaire_n1;production_ecs_solaire_installation_n1;type_generateur_n1_ecs_n1;type_energie_generateur_n1_ecs_n1;usage_generateur_n1_ecs_n1;description_generateur_n1_ecs_n1;volume_stockage_generateur_n1_ecs_n1;cop_generateur_n1_ecs_n1;type_generateur_n2_ecs_n1;type_energie_generateur_n2_ecs_n1;usage_generateur_n2_ecs_n1;description_generateur_n2_ecs_n1;volume_stockage_generateur_n2_ecs_n1;cop_generateur_n2_ecs_n1;type_ventilation;surface_ventilee;ventilation_posterieure_2012;type_generateur_froid;description_generateur_froid;surface_climatisee;categorie_enr;systeme_production_electricite_origine_renouvelable;presence_production_pv;surface_totale_capteurs_pv;nombre_module;production_electricite_pv_kwhep_par_an;electricite_pv_autoconsommee
2438N3951358G;08/11/2024;23/10/2024;07/11/2024;08/11/2024;06/11/2034;;2438N3950523D;;;;;DPE NEUF logement : RT2012;2.4;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;inférieur à 400m;H1c;appartement;individuel;individuel;2.4;;;2;;1;;44.7;;;0.96;1;;Bâtiment A;;;moyen;1;1;0;0;1;;;;;;;;;;;bonne;bonne;;bonne;très bonne;0.47;768.5;17.2;398.9;360.7;0;6.7;2.1;Gaz naturel;757.4;397.6;359.8;Électricité;11;1.3;0.9;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3714849S;02/11/2023;25/10/2023;25/10/2023;02/11/2023;24/10/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;3;1;1;;0;215.3;80.5;;;0.81;;;;;10-E Gauche-1-E004;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.49;1162.3;14.4;774.8;372.2;0;3.2;0.2;Gaz naturel;0;0;0;Électricité;3.4;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N0355117H;31/01/2024;18/12/2023;30/01/2024;31/01/2024;29/01/2034;;2438N0033094U;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;collectif;collectif;2.5;70;1;1;;0;4806.6;63.9;;;0.62;;;;;1-Vill'Agnelas-36-D0047;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.61;558.3;8.7;249.3;292.1;0;2.5;1;Réseau de Chauffage urbain;0;0;0;Électricité;3.5;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;réseau de chaleur ou de froid vertueux;;;;;0;
2138N0398375Y;08/11/2023;14/09/2021;14/09/2021;27/09/2021;13/09/2031;;;;;;;DPE NEUF logement : RT2012;1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;125.1;125.1;;;0.73;;;;;;;;;;;;;;;;;;;;;;très bonne;très bonne;;bonne;très bonne;0.34;230.7;1.8;159.1;63.8;0;18;2.8;Électricité;26.3;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3577756X;26/10/2023;22/10/2023;22/10/2023;23/10/2023;21/10/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;10;1;1;;0;633;23.6;;;0.78;;;;;1-BâtimeBATIMENT C R+3 10 logementsnt 1-9-C302 T1 R+3;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.42;399.7;16.9;172.9;221.4;0;1.1;0.2;Gaz naturel;0;0;0;Électricité;1.3;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3958810V;21/11/2023;14/11/2023;20/11/2023;21/11/2023;19/11/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;individuel;individuel;2.5;35;1;1;;0;2417.6;68.8;;;0.81;;;;;1-Bâtiment  le Duo-4-B004;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.46;495.3;7.1;331;140.6;0;2.8;0.2;Réseau de Chauffage urbain;0;0;0;Électricité;3;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N0737977P;08/11/2023;06/04/2022;07/04/2022;08/04/2022;06/04/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;24;1;1;;0;1580.9;71;;;0.73;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.64;1490.1;21;744.3;1025.9;0;3.3;1.2;Réseau de Chauffage urbain;0;0;0;Électricité;4.5;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N1312849B;08/11/2023;23/05/2022;22/05/2022;14/06/2022;21/05/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;individuel;individuel;2.5;46;1;1;;0;2957;101.8;;;0.58;;;;;;;;;;;;;;;;;;;;;;moyenne;très bonne;;très bonne;très bonne;0.73;1078.7;10.5;607.7;634.2;0;4.6;0;Gaz naturel;0;0;0;Électricité;4.6;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N4285554X;12/12/2023;11/12/2023;11/12/2023;12/12/2023;10/12/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;88.5;88.5;;;0.35;;;;;1-Batiment n 1-1-LogZone;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.37;174.6;1.9;117.8;40.1;0;12.4;0;Électricité;16.7;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;Il existe plusieurs descriptifs ENR;;;;;0;
2138N0109387A;08/11/2023;27/07/2021;27/07/2021;28/07/2021;26/07/2031;;;;;;;DPE NEUF logement : RT2012;1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;B;A;;;maison;;;2.5;1;1;1;;0;98.9;98.9;;;0.52;;;;;;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.27;290.7;2.8;235;51;0;14.4;0;Bois – Granulés (pellets) ou briquettes;0;0;0;Électricité;19.6;0;0;;;;;Bois – Granulés (pellets) ou briquettes;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
