numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2438N3951358G;7 Impasse Edmond Abraham 38230 Pont-de-Chéruy;7;Impasse Edmond Abraham;Pont-de-Chéruy;38230;38316;38;84;38316_ob2j5a_00007;adresse géocodée ban à l'adresse;7 impasse Edmond Abraham;PONT-DE-CHÉRUY;38230
2338N3714849S;6 Rue Lucie Et Paulette Roche 38120 Saint-Égrève;6;Rue Lucie Et Paulette Roche;Saint-Égrève;38120;38382;38;84;38382_0645_00006;adresse non géocodée ban car aucune correspondance trouvée;6 rue Lucie et Paulette Roche;SAINT-EGREVE;38120
2438N0355117H;Chemin de l’Agnelas 38700 La Tronche;;Chemin de l’Agnelas;La Tronche;38700;38516;38;84;38516_0010;adresse non géocodée ban car aucune correspondance trouvée;Rue de l'Agnelas;LA TRONCHE;38700
2138N0398375Y;Rue de la Croix Rousse 38510 Saint-Victor-de-Morestel;;;Saint-Victor-de-Morestel;38510;38465;38;84;38465_0090;adresse non géocodée ban car aucune correspondance trouvée;Route de la Croix Rousse;SAINT-VICTOR-DE-MORESTEL;38510
2338N3577756X;Rue Paul Mistral 38320 Eybens;;Rue Paul Mistral;Eybens;38320;38158;38;84;38158_0820;adresse non géocodée ban car aucune correspondance trouvée;RUE PAUL MISTRAL;EYBENS;38320
2338N3958810V;6 Rue Normandie Niemen 38130 Échirolles;6;Rue Normandie Niemen;Échirolles;38130;38151;38;84;38151_0439_00006;adresse non géocodée ban car aucune correspondance trouvée;6 rue Normandie Niemen;ECHIROLLES;38130
2238N0737977P;Avenue d'Echirolles 38320 Eybens;;Avenue d'Echirolles;Eybens;38320;38158;38;84;38158_0078;adresse non géocodée ban car aucune correspondance trouvée;41 Avenue d'Echirolles;EYBENS;38320
2238N1312849B;Boulevard Franklin Roosevelt 38500 Voiron;;Boulevard Franklin Roosevelt;Voiron;38500;38563;38;84;38563_0550;adresse non géocodée ban car aucune correspondance trouvée;Boulevard Franklin Roosevelt et Denfert Rochereau;Voiron;38500
2338N4285554X;Rue de Biévre 38590 Brézins;;Rue de Biévre;Brézins;38590;38058;38;84;38058_0023;adresse non géocodée ban car aucune correspondance trouvée;Lotissement « CASTEL-BIEVRE » - Lot 7;BREZINS;38590
2138N0109387A;Impasse de la Fournasse 38300 Les Éparres;;Impasse de la Fournasse;Les Éparres;38300;38156;38;84;38156_0250;adresse non géocodée ban car aucune correspondance trouvée;Impasse de la Fournasse Lotissement ''Terriez'' - Lot 5;LES EPARRES;38300
2238N1449231N;9 Rue Gustave Flaubert 38100 Grenoble;9;Rue Gustave Flaubert;Grenoble;38100;38185;38;84;38185_3380_00009;adresse géocodée ban à l'adresse;9 Rue Gustave Flaubert;Grenoble;38100
2138N0346783Q;30 Rue de la Houille Blanche 38190 Villard-Bonnot;30;Rue de la Houille Blanche;Villard-Bonnot;38190;38547;38;84;38547_0270_00030;adresse géocodée ban à l'adresse;30 Rue de la Houille Blanche;Villard-Bonnot;38190
2338N3397134X;Rue Aimé Pinel 38230 Pont-de-Chéruy;;Rue Aimé Pinel;Pont-de-Chéruy;38230;38316;38;84;38316_0020;adresse non géocodée ban car aucune correspondance trouvée;Rue Aimé Pinel  Lot 7;PONT-DE-CHERUY;38230
2338N0267577I;Chemin d’Avalon 38530 Saint-Maximin;;Chemin d’Avalon;Saint-Maximin;38530;38426;38;84;38426_0650;adresse non géocodée ban car aucune correspondance trouvée;Les Pommiers 2 - Lot 6 Chemin d'Avallon;ST MAXIMIN;38530
2338N2559864F;16 Rue de la République 38360 Sassenage;16;Rue de la République;Sassenage;38360;38474;38;84;38474_0160_00016;adresse non géocodée ban car aucune correspondance trouvée;16 rue de la République;SASSENAGE;38360
2338N2465552V;Avenue Francois Mitterrand 38500 Voiron;;Avenue Francois Mitterrand;Voiron;38500;38563;38;84;38563_1380;adresse non géocodée ban car aucune correspondance trouvée;Avenue François Mitterrand / Rue du Mail;VOIRON;38500
2438N3297505B;Rue Gérard Vernay 38090 Roche;;Rue Gérard Vernay;Roche;38090;38339;38;84;38339_0001;adresse non géocodée ban car aucune correspondance trouvée;rue Gérard VERNAY;ROCHE;38090
2238N3118714K;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N2642102E;Rue Beyle Stendhal 38640 Claix;;Rue Beyle Stendhal;Claix;38640;38111;38;84;38111_0040;adresse non géocodée ban car aucune correspondance trouvée;Rue Beyle Stendhal;CLAIX;38640
2438N0500591L;Rue du Métras 38440 Artas;;Rue du Métras;Artas;38440;38015;38;84;38015_0268;adresse non géocodée ban car aucune correspondance trouvée;RUE DU METRAS LOTISSEMENT LE PETIT BOIS NORD - N°3;ARTAS;38440
2338N2091801U;Rue Igor Stravinsky 38340 Voreppe;;Rue Igor Stravinsky;Voreppe;38340;38565;38;84;38565_0258;adresse non géocodée ban car aucune correspondance trouvée;364 rue Igor Stravinski;VOREPPE;38340
2238N1426611N;Rue du Jouffrey 38180 Seyssins;;Rue du Jouffrey;Seyssins;38180;38486;38;84;38486_0670;adresse non géocodée ban car aucune correspondance trouvée;Rue du JOUFFREY;SEYSSINS;38180
2438N0261053L;Route de Saint Nicolas 38960 Saint-Étienne-de-Crossey;;Route de Saint Nicolas;Saint-Étienne-de-Crossey;38960;38383;38;84;38383_0097;adresse non géocodée ban car aucune correspondance trouvée;Route de Saint Nicolas;SAINT-ETIENNE-DE-CROSSEY;38960
2238N0900991J;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2338N0688350X;2 Rue du Muret 38320 Eybens;2;Rue du Muret;Eybens;38320;38158;38;84;38158_0180_00002;adresse géocodée ban à l'adresse;Résidence NEPTUNE;;
;;;;;;;;;;;;;
