numero_dpe;besoin_chauffage;besoin_ecs;besoin_refroidissement;besoin_ecs_batiment;besoin_ecs_logement
2438N3951358G;;;;;
2338N3714849S;;;;;
2438N0355117H;;;;;
2138N0398375Y;;;;;
2338N3577756X;;;;;
2338N3958810V;;;;;
2238N0737977P;;;;;
2238N1312849B;;;;;
2338N4285554X;;;;;
2138N0109387A;;;;;
2238N1449231N;;;;;
2138N0346783Q;;;;;
2338N3397134X;;;;;
2338N0267577I;;;;;
2338N2559864F;;;;;
2338N2465552V;;;;;
2438N3297505B;;;;;
2238N3118714K;;;;;
2238N2642102E;;;;;
2438N0500591L;;;;;
2338N2091801U;;;;;
2238N1426611N;;;;;
2438N0261053L;;;;;
2238N0900991J;;;;;
2338N0688350X;;;;;
"2 Rue du Muret""";;;;;
2238N0901049P;;;;;
2238N2744053J;;;;;
ZAC éco-quartier;;;;;
"166 allée du Parc""";;;;;
2138N0230853U;;;;;
2238N0580631V;;;;;
2138N0655501K;;;;;
2438N1446968O;;;;;
2438N3987154A;;;;;
2438N2263007R;;;;37466310;1237402.3
2238N1463418E;;;;;
2438N1684393H;;;;;
2438N2097173L;;;;28301023.4;1205865.7
2438N2065537R;;;;46884897.9;1336199.1
2438N1559313N;;;;10950348.2;1261915.8
2138N0944371U;;;;;
2338N3546888R;;;;;
2138N1042978J;;;;;
2338N0992210V;;;;;
2138N0609203S;;;;;
2438N1966935H;;;;30869711.2;770367.7
2438N0475968K;;;;;
2238N0580734U;;;;;
2438N0543422U;;;;;
2138N0609216F;;;;;
2338N4082344D;;;;;
2138N0753248X;;;;;
2338N2560444N;;;;;
2338N4105246Z;;;;;
2338N1982115C;;;;;
2438N1482710G;;;;;
2238N2852636Q;;;;;
2438N2352394Q;1333;725;65;;
2238N2596635L;;;;;
ALLEE DE LA BATIE;;;;;
"EMBELLIE ALPES""";;;;;
2238N0408349P;;;;;
2438N2152642W;;;;;
2338N2306975S;;;;;
2238N0760153N;;;;;
"RUE DES ECOLES""";;;;;
2138N0773721I;;;;;
"Rue Gay""";;;;;
2238N2852653H;;;;;
2238N1086583N;;;;;
ZAC DES 7 LAUX;;;;;
"SITE DE PRAPOUTEL""";;;;;
2338N1420003K;;;;;
Lot 5;;;;;
"68""";;;;;
2338N4152828B;;;;;
2238N2283783R;;;;;
"Le Bourg""";;;;;
2238N1463324O;;;;;
2238N0519725H;;;;;
2238N3118729Z;;;;;
2238N2954774A;;;;;
2138N0692265K;;;;;
2438N2217801Z;;;;;
2338N2415232L;;;;;
2238N1912907F;;;;;
2338N0099308L;;;;;
2238N1217307J;;;;;
2238N2628472Y;;;;;
"Rue de Nantes""";;;;;
2438N0057501N;;;;;
2238N2898749F;;;;;
2338N0924603O;;;;;
" Rue De L'eglise""";;;;;
2438N0429564Q;1185;494;0;;
2238N1394041V;;;;18561179.5;1106210.3
2438N1968956A;;;;30869349.4;1017094.4
2138N0306928T;;;;;
"10 Boulevard des Frères Desaire""";;;;;
2338N1680764R;;;;;
Bâtiment C;;;;;
"65 avenue de Claix""";;;;;
2338N3068820L;;;;;
2238N1086571B;;;;;
ZAC DES 7 LAUX;;;;;
"SITE DE PRAPOUTEL""";;;;;
2238N0901124M;;;;;
2338N4363675O;;;;;
2138N0858633E;;;;;
2238N1932694G;;;;;
2238N1463376O;;;;;
2338N3202347C;;;;;
2238N2614419L;2845;735;0;;
2338N1847393M;;;;;
2469N0478514N;;;;;
2338N0799135W;;;;;
2238N0547122A;;;;;
2238N0198208G;;;;;
2238N1526569B;;;;;
2138N0635795M;;;;;
2438N1065519L;;;;;
2338N0728537O;;;;;
2138N0783387C;;;;;
2238N2265088Q;;;;;
2238N2404303B;;;;;
2338N2133838P;;;;;
